# name,ce_hash  (CE 1.2.0.59 native hashes, from FusionFix v5 source/natives.ixx; checked against GTAIV.exe by tools/verify)
MARK_CAR_AS_NO_LONGER_NEEDED,0x20C76FD1
OPEN_CAR_DOOR,0x1E352CEF
PLAY_SOUND_FROM_PED,0x56F37A81
PLAY_SOUND_FROM_POSITION,0x65752C65
PLAY_SOUND_FROM_VEHICLE,0x763274B7
PLAY_SOUND_FRONTEND,0x4DAF2C87
RELEASE_SOUND_ID,0x211D390A
REMOVE_ALL_CHAR_WEAPONS,0x6BA520F0
REMOVE_ANIMS,0x55E00E7E
REMOVE_WEAPON_FROM_CHAR,0x2485231E
REQUEST_ANIMS,0x65F874DE
SET_BLOCKING_OF_NON_TEMPORARY_EVENTS,0x76247429
SET_CAR_COORDINATES,0x567B6C56
SET_CAR_HEADING,0x75E40528
SET_CAR_HEALTH,0x49B6525C
SET_CHAR_ACCURACY,0x1958471A
SET_CHAR_AMMO,0x437D247E
SET_CHAR_HEALTH,0x575E2880
SET_CHAR_INVINCIBLE,0x2A58578B
SET_ENGINE_HEALTH,0x3F413561
SET_OBJECT_COLLISION,0x24A40229
SET_OBJECT_COORDINATES,0x52FD30EB
SET_PLAYER_CONTROL,0x1A6203EA
SET_PLAYER_INVINCIBLE,0x7E9E02E1
SHUT_CAR_DOOR,0x5E7A620E
START_PTFX,0x3A774777
START_PTFX_ON_VEH,0x5C4B1A8A
STORE_SCORE,0x1E203014
STORE_WANTED_LEVEL,0x12AA6D71
TASK_COMBAT,0x1F157FD3
TASK_COWER,0x29103E08
TASK_ENTER_CAR_AS_DRIVER,0x5BF03315
TASK_GO_STRAIGHT_TO_COORD,0x19591255
TASK_HANDS_UP,0x68232D31
TASK_LEAVE_ANY_CAR,0x1114089D
TASK_LOOK_AT_COORD,0x26E27605
TASK_SMART_FLEE_CHAR,0x1880639C
TASK_STAND_STILL,0x524C4CB5
TASK_TURN_CHAR_TO_FACE_COORD,0x51517B11
TASK_WANDER_STANDARD,0x43F5151F
TRIGGER_PTFX,0x21C44026
CHANGE_CAR_COLOUR,0x06441EAF
DETACH_OBJECT,0x05C87C26
GIVE_WEAPON_TO_CHAR,0x03E90416
MARK_CHAR_AS_NO_LONGER_NEEDED,0x0B774604
MARK_MODEL_AS_NO_LONGER_NEEDED,0x00FA0E33
SET_OBJECT_ROTATION,0x081D549C
STOP_SOUND,0x09DB00B9
TASK_AIM_GUN_AT_COORD,0x0AA202B0
TASK_ENTER_CAR_AS_PASSENGER,0x0A2C70AF
TURN_OFF_VEHICLE_EXTRA,0x05966824
TASK_SHOOT_AT_COORD,0x705231A9
GET_WATER_HEIGHT,0x2BB9620F
HAS_CHAR_SPOTTED_CHAR,0x1ADD68E8
IS_CHAR_ON_SCREEN,0x59471B11
CAM_IS_SPHERE_VISIBLE,0x2D5611D4
